id,name,url,image_url,image_name,genre,starring,num_episodes,release_year,plot,rating
838,Phoenix (2020 TV series),https://en.wikipedia.org/wiki/Phoenix_2020,https://upload.wikimedia.org/wikipedia/en/4/4f/Phoenix_2020_TV_series.jpg,838.jpg,"Romance, Drama","Hong Soo-ah, Lee Jae-woo, Seo Ha-jun, Park Young-rin",120,2020,A disfigured Holocaust survivor sets out to determine if the man she loved betrayed her trust.::Noah Orent,7.3
839,Pianist (KBS Drama Special),https://en.wikipedia.org/wiki/Pianist_(KBS_Drama_Special),https://upload.wikimedia.org/wikipedia/en/d/d3/Pianistposter.jpg,839.jpg,,,,,,N/A
840,Piano (TV series),https://en.wikipedia.org/wiki/Piano_(TV_series),https://upload.wikimedia.org/wikipedia/en/9/98/Piano_%28TV_series%29-poster.jpg,840.jpg,"Romance, Melodrama","Cho Jae-hyun, Go Soo, Kim Ha-neul, Jo In-sung",16,2001,"In the mid-19th century, a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a wealthy landowner, but is soon lusted after by a local worker on the plantation.::Murray Chapman <muzzle@imdb.com>",7.6
841,Pied Piper (TV series),https://en.wikipedia.org/wiki/Pied_Piper_(TV_series),https://upload.wikimedia.org/wikipedia/en/4/4c/Pied_Piper_TV_poster.jpeg,841.jpeg,"Action, Thriller, Crime, Drama","Shin Ha-kyun, Jo Yoon-hee, Yoo Jun-sang",16,2016,"David Beckham goes from store to store, asking for a simple wireless plan with a consistent monthly cost. He is met with confusion and frustration at every stop - until he is offered All-In Wireless.::Sprint",N/A
842,Pink Lipstick,https://en.wikipedia.org/wiki/Pink_Lipstick,https://upload.wikimedia.org/wikipedia/en/a/ac/Pinklipstick-poster.jpg,842.jpg,"Melodrama, Revenge, Romance","Park Eun-hye, Lee Joo-hyun, Park Gwang-hyun, Seo Yoo-jung",149,2010,"Park Eun Hye, who rose to prominence inJewel in the Palace,Yi San and Taiwanese dramaSilence, brings her usual charm to this compelling daily drama. With strong ratings, Pink Lipstick'sstory of a good woman turned revenge-seeker against her cheating husband was picked up by a television network in Taiwan. It co-stars Park Kwang Hun (The Bean Chaff of My Life) and Lee Joo Hyun, who is probably best known as the charismatic detective inWhen It's at Night. Yoo Ga Eun (played by Park Eun Hye) is the kind of kind-hearted woman that everyone loves. After falling for Park Jung Woo (Lee Joo Hyun), she dates and then marries him. She has a perfect, happy life, especially after they adopt a daughter. One day, however, she discovers that her husband had an affair with her best friend Mi Ran (Seo Yoo Jung), and that her adopted daughter is the product of that liason. Shaken to the core, Ga Eun sets out on a course that proves that even nice women, when betrayed, can enact justice on those who hurt them. Leaving Jung Woo and taking her life in her own hands, she marries wealthy businessman Maeng Ho Geol as part of a carefully-constructed revenge plan. When a man named Ha Jae Bum (Park Kwang Hyun) unexpectedly enters her life, he may be just the one to offer her the love that her husband didn't - but can she learn to trust again? And when Jae Bum promises to support her no matter what, will she have to sacrifice him to gain revenge? Meanwhile, her ex-husband and scheming best friend discover that the woman they always took for granted has more to her than meets the eye...",7.0
843,Pinocchio's Nose,https://en.wikipedia.org/wiki/Pinocchio's_Nose,,,,,,,,N/A
844,Pinocchio (2014 TV series),https://en.wikipedia.org/wiki/Pinocchio_(2014_TV_series),https://upload.wikimedia.org/wikipedia/en/a/af/PinocchioPromotionalPoster.jpg,844.jpg,"Family, Romance, Comedy, Drama","Lee Jong-suk, Park Shin-hye, Kim Young-kwang, Lee Yu-bi",20,2014,"A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He tries to conceal his past for everyone's sake for 13 years. But when the girl he loves enters the world of news reporting, the truth about his family pours out. However, the girl's mother (being a news reporter) seem to be the cause of the plight of his family.",8.1
845,Player (TV series),https://en.wikipedia.org/wiki/Player_(TV_series),https://upload.wikimedia.org/wikipedia/en/3/3c/Player_%28TV_Series%29.jpg,845.jpg,"Action, Crime","Song Seung-heon, Krystal Jung, Lee Si-eon, Tae Won-suk, Tae Won-suk",14,2018,"Two friends wage bets for money and fun. There comes a time where they race to win the biggest bet, for they know that their lives depend on it.::Roshan Rodrigues",7.2
846,Playful Kiss,https://en.wikipedia.org/wiki/Playful_Kiss,https://upload.wikimedia.org/wikipedia/en/f/f6/PlayfulKissPoster.jpg,846.jpg,"Romance, Comedy","Jung So-min, Kim Hyun-joong, Lee Tae-sung, Lee Si-young",16,2010,"Fate brings polar opposite high school classmates (one obsessively attracted to the other, the other indifferent to all advances) to live under one roof. Is romance possible?::statmanjeff",7.1
847,"Please Come Back, Soon-ae","https://en.wikipedia.org/wiki/Please_Come_Back,_Soon-ae",https://upload.wikimedia.org/wikipedia/en/b/b8/Please_Come_Back%2C_Soon-ae.jpg,847.jpg,,"Shim Hye-jin, Park Jin-hee, Lee Jae-hwang, Yoon Da-hoon",16,2006,,8.2
848,Please Don't Date Him,https://en.wikipedia.org/wiki/Please_Don't_Date_Him,https://upload.wikimedia.org/wikipedia/en/c/c6/Please_Don%27t_Date_Him.jpg,848.jpg,"Romantic comedy, Science fiction","Song Ha-yoon, Lee Jun-young, Lee Jun-young, Yoon Bo-mi, Gong Min-jung",10,2020,"An AI programmer accidentally develops an AI program called Cho Sang Shin, which will identify trashy humans, and she uses it to save people who are in difficult relationships.",7.4
849,Plus Nine Boys,https://en.wikipedia.org/wiki/Plus_Nine_Boys,https://upload.wikimedia.org/wikipedia/en/2/2e/Plus_Nine_Boys-poster.jpg,849.jpg,"Romance, Comedy","Kim Young-kwang, Yook Sung-jae, Oh Jung-se, Choi Ro-woon",14,2014,"Follows the lives of a group of males whose ages are 9-years-old, 19-years-old, 29-years-old and 39-years-old.::ismayilovlar",7.4
850,Police Class,https://en.wikipedia.org/wiki/Police_Class,,,"Romance, Youth Drama","Cha Tae-hyun, Jung Jin-young, Jung Jin-young, Krystal Jung",16,2021,"The series depicts the story of a National Police University campus, and the conflict and harmony between professor and students.::Wikipedia",N/A
851,Poseidon (TV series),https://en.wikipedia.org/wiki/Poseidon_(TV_series),https://upload.wikimedia.org/wikipedia/en/2/2c/Poseidonposter-korean2.jpg,851.jpg,"Action, Romance","Choi Siwon, Lee Si-young, Lee Sung-jae",16,2011,"On New Year's Eve, the luxury ocean liner Poseidon capsizes after being swamped by a rogue wave. The survivors are left to fight for their lives as they attempt to escape the sinking ship.::harpster_2004@yahoo.co.uk",5.7
852,Possessed (TV series),https://en.wikipedia.org/wiki/Possessed_(TV_series),https://upload.wikimedia.org/wikipedia/en/2/24/Possessed_2019.jpg,852.jpg,"Comedy, Supernatural, Thriller","Song Sae-byeok, Go Joon-hee, Yeon Jung-hoon, Jo Han-sun",16,2019,"Inspired by the true account of a 1949 Catholic Church exorcism performed in America. ""Possessed"", tells the story that was suppressed for nearly half a century.",5.3
853,Potato Star 2013QR3,https://en.wikipedia.org/wiki/Potato_Star_2013QR3,https://upload.wikimedia.org/wikipedia/en/f/f8/Potato_Star_2013QR3-poster.jpg,853.jpg,"Family, Romance, Comedy, Drama","Lee Soon-jae, Yeo Jin-goo, Ha Yeon-soo, Go Kyung-pyo, Seo Yea-ji",120,2013,,8.1
854,Pots of Gold,https://en.wikipedia.org/wiki/Pots_of_Gold,https://upload.wikimedia.org/wikipedia/en/5/56/Pots_of_Gold_%28%EA%B8%88_%EB%82%98%EC%99%80%EB%9D%BC%2C_%EB%9A%9D%EB%94%B1%21_-_I_Summon_You%2C_Gold%21%29_-_poster.jpg,854.jpg,"Family, Comedy, Romance","Han Ji-hye, Yeon Jung-hoon, Lee Tae-sung, Lee Soo-kyung",50,2013,South Korean television series about a street vendor who designs jewelry family and her encounters with a rich family that owns a jewelry business. Standard mistaken identity and hilarity ensues melodrama.,7.7
855,Precious Family,https://en.wikipedia.org/wiki/Precious_Family,,,,"Kim Hee-ae, Heo Joon-ho, Song Jae-ho, Kim Hae-sook",68,2004,The drama shows how members of a good-natured family endure life's hardships and how the love they have for each other helps them no matter how many difficulties they face.::Anonymous,8.6
856,Pride and Prejudice (2014 TV series),https://en.wikipedia.org/wiki/Pride_and_Prejudice_(2014_TV_series),https://upload.wikimedia.org/wikipedia/en/9/9a/Pride_and_Prejudice_2014_TV_series-poster.jpg,856.jpg,"Legal, Romance, Comedy","Choi Jin-hyuk, Baek Jin-hee, Choi Min-soo, Lee Tae-hwan, Son Chang-min",21,2014,"Mr. and Mrs. Bennet have five unmarried daughters, and Mrs. Bennet is especially eager to find suitable husbands for them. When the rich single gentlemen Mr. Bingley and Mr. Darcy come to live nearby, the Bennets have high hopes. But pride, prejudice, and misunderstandings all combine to complicate their relationships and to make happiness difficult.",6.8
857,Priest (TV series),https://en.wikipedia.org/wiki/Priest_(TV_series),https://upload.wikimedia.org/wikipedia/en/d/dc/Priest_Drama.jpg,857.jpg,"Medical, Thriller","Yeon Woo-jin, Jeong Yu-mi, Park Yong-woo",16,2018,A priest disobeys church law to track down the vampires who kidnapped his niece.::Anonymous,5.7
858,Prime Minister and I,https://en.wikipedia.org/wiki/Prime_Minister_&_I,https://upload.wikimedia.org/wikipedia/en/8/89/Prime_Minister_and_I-poster.jpg,858.jpg,"Romance, Comedy, Drama","Im Yoon-ah, Lee Beom-soo, Yoon Shi-yoon, Chae Jung-an, Ryu Jin",17,2013,"At 42-years-old, Kwon Yool (Lee Beom Soo) is South Korea's youngest prime minister ever. On top of his reputation of being an honest man of the utmost integrity, he's also a widower who raises his three children alone. But what the public doesn't know is that despite his perfect image, Prime Minister Kwon is actually a struggling father devoid of even the most basic of parenting skills. Nam Da Jung (Yoona) is a journalist who resorts to writing trashy tabloids to support her ailing father, but when she chases Prime Minister Kwon for a lucrative exposé, she ends up scooping a whole lot more than she bargained for.",6.9
859,Prince Hours,https://en.wikipedia.org/wiki/Prince_Hours,https://upload.wikimedia.org/wikipedia/en/c/c8/GoongS.jpg,859.jpg,"Romance, Comedy","Seven, Huh E-jae, Kang Doo, Park Shin-hye",20,2007,"Winning the hand of the queen means becoming the future king. Queen Hwa In (Myung Se Bin) is the reigning queen but the fact that she is still single and has no heir concerns the imperial court. Although she has been in love with Alexander (Marc Andre Jourdan), her half-Korean, half-English professor from Oxford, she sacrificed her own happiness in order to do what's right for her people.",6.2
860,Princess Aurora (TV series),https://en.wikipedia.org/wiki/Princess_Aurora_(TV_series),https://upload.wikimedia.org/wikipedia/en/6/69/PrincessAuroraTVposter.jpg,860.jpg,"Melodrama, Comedy, Romance","Jeon So-min, Oh Chang-seok",150,2013,"A woman gets killed in a department store. No one imagines this could lead to serial murders, but two days after the first murder, another homicide occurs. A woman is suffocated to death and the only evidence left at the crime scene is a sticker of the cartoon character ""Princess Aurora"". A veteran detective OH suspects an attractive and lively woman named JUNG Soon-jung as the murderer. However, he does not tell anyone -not even his partner- that Jung also happens to be his ex-wife. Again and again, the Princess Aurora sticker is found... each with a dead body.::Anonymous",6.6
861,Princess Hours,https://en.wikipedia.org/wiki/Princess_Hours,https://upload.wikimedia.org/wikipedia/en/a/af/GoongCast.jpg,861.jpg,"Romance, Comedy, Drama","Ju Ji-hoon, Yoon Eun-hye, Kim Jeong-hoon, Song Ji-hyo",24,2006,"Love, tradition, and politics collide when a spirited young art student is betrothed to the crown prince of South Korea.::L. Hamre",7.7
862,Princess Lulu,https://en.wikipedia.org/wiki/Princess_Lulu,,,,"Kim Jung-eun, Jung Joon-ho",20,2005,,5.7
863,Prison Playbook,https://en.wikipedia.org/wiki/Prison_Playbook,https://upload.wikimedia.org/wikipedia/en/a/a6/Wise_Prison_Life-poster.jpg,863.jpg,Dark comedy,"Park Hae-soo, Jung Kyung-ho",16,2017,"Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox.",8.4
864,Private Lives (TV series),https://en.wikipedia.org/wiki/Private_Lives_(TV_series),https://upload.wikimedia.org/wikipedia/en/f/f2/Private_Lives.jpg,864.jpg,"Drama, Crime, Romance","Seohyun, Go Kyung-pyo, Kim Hyo-jin, Kim Young-min, Tae Won-seok",16,2020,"In a world where data is no longer private, con artists uncover a sinister surveillance scheme headed by the government and a greedy corporation.::Netflix",6.5
865,Prosecutor Princess,https://en.wikipedia.org/wiki/Prosecutor_Princess,https://upload.wikimedia.org/wikipedia/en/4/40/Prosecutor_Princess_poster.jpg,865.jpg,"Legal, Romance, Comedy","Kim So-yeon, Park Si-hoo",16,2010,"The writer of 2009 hit Shining Inheritance adds a romantic comedy twist to this traditional revenge story. Having graduated law school with little effort due to her superb memory and high intelligence, Ma Hye Ri has little on her mind at her graduation ceremony but the high-end fashion show going on at the same time. Escaping the ceremony in favor of skiing and shopping, she has no idea that her weekend of frivolity will set off a chain of events that will change her life forever. Forced to become a prosecutor at the insistence of her wealthy father, she appears knowledgeable but unsympathetic to her new co-workers. Meanwhile, mysterious lawyer Seo In Woo takes her under his wing and helps the princess learn a thing or two about compassion in her work. Meanwhile, educated prosecutor Yoon Se Joon begins to fall for her, but In Woo is always beside her-until Hye Ri begins to question what his motives are. Prosecutor Princess stars Kim So Yeon ( Iris ) and Park Shi Hoo, rapidly-rising star of Family's Honor and Iljimae .",7.1
866,Protect the Boss,https://en.wikipedia.org/wiki/Protect_the_Boss,https://upload.wikimedia.org/wikipedia/en/a/a1/Protect_The_Boss-poster.jpg,866.jpg,"Action, Romance, Comedy","Ji Sung, Choi Kang-hee, Choi Kang-hee, Kim Jae-joong, Wang Ji-hye",18,2011,"After a long stretch of unemployment No Eun Seol lands a job as secretary to Cha Ji Heon the youngest son of a rich family. However her secretary duties go beyond the ordinary, helping her boss cope and function in normal society.::anonymous",7.1
867,Psychopath Diary,https://en.wikipedia.org/wiki/Psychopath_Diary,https://upload.wikimedia.org/wikipedia/en/8/8d/Psychopath_Diary_Poster.jpeg,867.jpeg,"Comedy, Thriller","Yoon Shi-yoon, Jung In-sun, Park Sung-hoon",16,2019,"""Psychopath Diary"" is the story of Yook Dong Sik who coincidentally picks up the diary of a serial killer.::HanCinema",7.8
868,Puberty Medley,https://en.wikipedia.org/wiki/Puberty_Medley,https://upload.wikimedia.org/wikipedia/en/2/22/Adolescence_medley_poster.jpg,868.jpg,"School, Coming of age, Romantic comedy","Kwak Dong-yeon, Lee Se-young, Kwak Jung-wook, Choi Tae-joon, Park Jung-min, Bae Noo-ri, Yoon Park",4,2013,"A boy who transfers schools a lot joins in a country school, thinking he will transfer soon he picks fight with senior and asks a girl (in the class) out. But he have to stay there till graduation and deal with things he messed up!!",7.3
869,Punch (2014 TV series),https://en.wikipedia.org/wiki/Punch_(TV_series),https://upload.wikimedia.org/wikipedia/en/c/c5/Punch_TV_series_poster.jpg,869.jpg,"Politics, Thriller, Drama","Kim Rae-won, Kim Ah-joong, Cho Jae-hyun, Seo Ji-hye, On Joo-wan",19,2014,"When Park Jung Hwan (Kim Rae Won), the chief of the anti-corruption investigation team for the Supreme Prosecutors' Office, learns that he has a malignant brain tumor that gives him only 6 months to live, he decides to throw his final punch at the criminal world before he says farewell to life. While he was once a dishonest chief himself, making compromises to achieve his position of power, Park decides to redeem himself by he taking down the corrupt Public Prosecutor General Lee Tae Joon (Cho Jae Hyun). In his passionate pursuit, he recruits the help of Shin Ha Kyung, his ex-wife and mother of his child who divorced him because he was only concerned with power and status and is now an upright prosecutor herself. Park is determined to redeem himself to the world, but can he also redeem himself in the eyes of his family?",7.8
870,Pure Love (2013 TV series),https://en.wikipedia.org/wiki/Pure_Love_(2013_TV_series),https://upload.wikimedia.org/wikipedia/en/1/17/Pure_Love_TV_series.jpg,870.jpg,Drama,"Lee Jae-ryong, Do Ji-won, Jeon Mi-seon, Kwon Ki-seon, Han Soo-yeon, Kim Tae-hoon",125,2013,,6.8
871,Pure Pumpkin Flower,https://en.wikipedia.org/wiki/Pure_Pumpkin_Flower,,,"Drama, Family, Melodrama, Romance","Lee Chung-ah, Bae Jong-ok",124,2010,,N/A
872,"Que Sera, Sera (TV series)","https://en.wikipedia.org/wiki/Que_Sera,_Sera_(TV_series)",https://upload.wikimedia.org/wikipedia/en/4/43/Que_Sera_Sera_Korean_drama_poster.jpg,872.jpg,,"Eric Mun, Jung Yu-mi, Lee Kyu-han, Yoon Ji-hye",17,2007,Tae Joo has charm and good looks and dates rich women. He finds a strange poor girl in front of his apartment. He finds himself falling for her. It won't be smooth sailing though for this couple.::anonymous,7.4
873,Queen: Love and War,https://en.wikipedia.org/wiki/Queen:_Love_and_War,https://upload.wikimedia.org/wikipedia/en/4/40/Queen-Love_and_War_main_poster.jpg,873.jpg,"Historical, Romance, Fantasy","Jin Se-yeon, Kim Min-kyu, Do Sang-woo, Lee Yeol-eum, Lee Si-eon",16,2019,A fantasy sageuk about those who struggle for power and the queen's throne.,7.7
874,Queen Seondeok (TV series),https://en.wikipedia.org/wiki/Queen_Seondeok_(TV_series),https://upload.wikimedia.org/wikipedia/en/3/35/Queen_Seondeok-poster.jpg,874.jpg,"Historical, Action, Romance","Lee Yo-won, Go Hyun-jung, Park Ye-jin, Uhm Tae-woong, Kim Nam-gil",62,2009,"Story of Queen Seondeok who was born a princess, brought up among commoners and overcame many trials to become the ruler of Silla.",8.8
875,Queen and I (South Korean TV series),https://en.wikipedia.org/wiki/Queen_and_I_(South_Korean_TV_series),https://upload.wikimedia.org/wikipedia/en/8/8d/Queen_In_Hyun%27s_Man_Poster.jpg,875.jpg,"Romance, Fantasy","Ji Hyun-woo, Yoo In-na",16,2012,"A new republican prime minister strips the British monarch and her family of their money and assets, and forces them to live on a rundown council estate.::BritishFilms1",5.3
876,Queen for Seven Days,https://en.wikipedia.org/wiki/Queen_for_Seven_Days,https://upload.wikimedia.org/wikipedia/en/8/86/Queen_for_Seven_Days_Poster.jpg,876.jpg,"Historical, Romance, Politics, Melodrama","Park Min-young, Yeon Woo-jin, Lee Dong-gun",20,2017,"Kyung is the daughter of a powerful politician during the Joseon Dynasty. She falls in love with Crown Prince Lee Yuk, who lives under the tyranny of his half-brother, King Yeon San Gun. When Lee Yuk rises to the throne and becomes King Jung Jong, Chae Kyung becomes Queen Dan Kyung, who becomes caught in the cross-fires of different political factions as well as the jealousies between the brothers When Dan Kyung's own father stages a coup against the king, Queen Dan Kyung is dethroned only after seven days and expelled from the palace. What will happen to the love between the king and queen when they can no longer be together?::Zahra Salahi",7.8
877,Queen of Ambition,https://en.wikipedia.org/wiki/King_of_Ambition,https://upload.wikimedia.org/wikipedia/en/b/bc/King_of_Ambition-poster.jpg,877.jpg,"Melodrama, Romance, Action","Kwon Sang-woo, Soo Ae, Yunho, Jung Yun-ho, Kim Sung-ryung, Go Joon-hee",24,2013,"K-drama TV show about a young woman who becomes consumed by greed and ambition, and, the man who once loved her who's now determined to stop her and make her pay for her past sins.::Anonymous",8.0
878,Queen of Housewives,https://en.wikipedia.org/wiki/Queen_of_Housewives,https://upload.wikimedia.org/wikipedia/en/4/4e/Queen_of_Housewives-poster.jpg,878.jpg,"Romance, Workplace Comedy, Drama","Kim Nam-joo, Kim Nam-joo, Oh Ji-ho, Lee Hye-young, Yoon Sang-hyun, Choi Cheol-ho, Sunwoo Sun",20,2009,"Ji-ae, a slightly dim woman that was once queen of her high school, is followed everywhere by her ugly duckling friend Bong-sun. Years later, Ji-ae is something of a frump, though no brighter, dominated by greed and pettiness. When her husband takes a job at corporate giant, Queen Foods, his boss is none other than the husband of Ji-ae's old tagalong, Bong-sun--now a beautiful swan!::D. Bannon",7.4
879,Queen of Mystery,https://en.wikipedia.org/wiki/Queen_of_Mystery,https://upload.wikimedia.org/wikipedia/en/d/dd/Queen_of_Mystery_Poster.jpg,879.jpg,"Mystery, Comedy","Choi Kang-hee, Choi Kang-hee, Kwon Sang-woo",16,2017,"Bored with life as a housewife, Yoo Seol-Ok pursues her passion for mysteries by investigating small cases with a local policeman. Inadvertently interfering with a bigger case, she will team up with the detective in charge to solve crimes.::Dama del Puente",7.5
880,Queen of Mystery 2,https://en.wikipedia.org/wiki/Queen_of_Mystery_2,https://upload.wikimedia.org/wikipedia/en/a/a0/Queen_of_Mystery_2_poster.jpeg,880.jpeg,"Crime, Mystery, Detective, Comedy","Choi Kang-hee, Choi Kang-hee, Kwon Sang-woo",16,2018,Three crime-writing sisters and their 28-year old niece use their extensive knowledge of crime to solve whodunit style murders in the picturesque English village of Wildemarsh.,7.4
881,Queen of Reversals,https://en.wikipedia.org/wiki/Queen_of_Reversals,https://upload.wikimedia.org/wikipedia/en/9/95/Queen_of_Reversals-poster.jpg,881.jpg,"Romance, Comedy","Kim Nam-joo, Kim Nam-joo, Jung Joon-ho, Park Si-hoo, Chae Jung-an",31,2010,"Hwang Tae Hee lleva una vida de ensueño, después de crecer en una familia adinerada, fácilmente obtiene un codiciado trabajo. Siendo demasiado adicta al trabajo para tener tiempo para el romance, se queda pasmada cuando se enamora rotundamente de Bong Joon Soo. Ella lo busca y muy pronto terminan casados. Cuando la luna de miel se termina, Tae Hee se da cuenta de que su rival en el trabajo y la ex de su marido, Baek Yeo Jin, se ha apoderado de su trabajo. Mientras lucha con su trabajo y su matrimonio, ella también debe lidiar con su arrogante e inmaduro jefe, Goo Yong Shik, que se enamora de ella, mientras su vida se cae a pedazos. Queen of Reversals es una historia de una mujer que se las ingenia para recuperar todo lo que ha perdido solo con mera voluntad y determinación. La querida actriz Kim Nam Joo (Queen of Housewives) nuevamente toma el papel principal en la seminueva versión de Queen of Reversals. La acompaña el conjunto de los carismáticos actores: Jung Joon Ho (Iris), Park Shi Hoo (Prosecutor Princess), y Chae Jung Ahn (Coffee Prince). Watch the original Queen of Reversals here!",7.6
882,Queen of the Ring (TV series),https://en.wikipedia.org/wiki/Queen_of_the_Ring_(TV_series),https://upload.wikimedia.org/wikipedia/en/2/24/Queen_of_the_Ring_Poster.jpg,882.jpg,"Romance, Fantasy","Kim Seul-gi, Ahn Hyo-seop",6,2017,"A part of the Three Color Fantasy trilogy, the drama focuses on a girl, Nan Hee, who believes she is ugly. After falling for a handsome guy, she uses a family ring with the power to appear beautiful to the boy she likes.",6.7
883,Quiz of God,https://en.wikipedia.org/wiki/Quiz_of_God,https://upload.wikimedia.org/wikipedia/en/0/08/God%27s_Quiz-poster.jpg,883.jpg,"Police procedural, Crime, Medical, Mystery","Ryu Deok-hwan, Yoon Joo-hee, Choi Jung-woo, Park Joon-myun, Kim Dae-jin, Ahn Nae-sang",62,2010,"The medical team, at Hankuk University, assists the law with suspicious deaths and rare diseases.::Anonymous",7.4
884,Racquet Boys,https://en.wikipedia.org/wiki/Racquet_Boys,,,"Drama, Sports","Kim Sang-kyung, Oh Na-ra, Park Hyo-joo",16,2021,"The series is about a middle school badminton club at Haenam Seo Middle School, which is in bad shape. It relates the story of how it faces challenges to develop sixteen young boys and girls into national level badminton players.::Wikipedia",N/A
885,Radiant Office,https://en.wikipedia.org/wiki/Radiant_Office,https://upload.wikimedia.org/wikipedia/en/c/ca/Radiant_Office_poster.jpg,885.jpg,"Romantic comedy, Workplace drama","Go Ah-sung, Ha Seok-jin, Kim Dong-wook, Lee Dong-hwi, Hoya, Hoya",16,2017,An office romantic-comedy features the hijinks that ensues between a tempt worker with possible terminally-ill diagnosis and a prickly elite marketing director.,7.1
886,Radio Romance (TV series),https://en.wikipedia.org/wiki/Radio_Romance_(TV_series),https://upload.wikimedia.org/wikipedia/en/a/a6/Radio_Romance_%28TV_series%29.jpg,886.jpg,Romance,"Yoon Doo-joon, Kim So-hyun, Yoon Park, Yura",16,2018,About an actor who's showcase family is famous and a radio writer who fell in love with radio after her mother became blind when she was a teen. She gets the actor to become her DJ not knowing their shared history as teens. He had trouble sleeping but she's just the thing he needs. She had trouble writing but learns to find her voice.,6.5
887,Rain or Shine (TV series),https://en.wikipedia.org/wiki/Rain_or_Shine_(TV_series),https://upload.wikimedia.org/wikipedia/en/8/8d/Rain_or_Shine_%28TV_series%29-poster.jpg,887.jpg,"Romance, Melodrama","Lee Jun-ho, Lee Jun-ho, Won Jin-ah, Lee Ki-woo, Kang Han-na",16,2017,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever.::MyDramaList",8.2
888,Reason (KBS Drama Special),https://en.wikipedia.org/wiki/Reason_(KBS_Drama_Special),,,,,,,,N/A
889,Record of Youth,https://en.wikipedia.org/wiki/Record_of_Youth,https://upload.wikimedia.org/wikipedia/en/a/ab/Record_of_Youth.jpg,889.jpg,"Romance, Youth Drama","Park Bo-gum, Park So-dam, Byeon Woo-seok, Kwon Soo-hyun",16,2020,Two actors and a makeup artist fight to make their own way in a world that weighs the backgrounds they were born into more than their dreams.::(Source: Netflix),7.3
890,Red Sky (TV series),https://en.wikipedia.org/wiki/Red_Sky_(TV_series),,,"Historical, Romance, Fantasy","Kim Yoo-jung, Ahn Hyo-seop, Gong Myung, Kwak Si-yang",16,2021,"Coral, Wendy and Gina go on the run in search of freedom while being chased by Romeo, their pimp from Las Novias Club, and his henchmen, Moises and Christian.",6.4
891,Remember (TV series),https://en.wikipedia.org/wiki/Remember_(TV_series),https://upload.wikimedia.org/wikipedia/en/7/77/Remember_%E2%80%93_War_of_the_Son_%28%EB%A6%AC%EB%A9%A4%EB%B2%84_%E2%80%93_%EC%95%84%EB%93%A4%EC%9D%98_%EC%A0%84%EC%9F%81%29_Promotional_poster.jpg,891.jpg,"Legal, Crime, Thriller, Suspense, Mystery","Yoo Seung-ho, Park Sung-woong, Park Min-young, Namkoong Min, Jung Hye-sung",20,2015,"With the aid of a fellow Auschwitz survivor and a hand-written letter, an elderly man with dementia goes in search of the person he believes to be responsible for the death of his family in the death camp to kill him himself.",7.5
892,Replay: The Moment,https://en.wikipedia.org/wiki/Replay:_The_Moment,https://upload.wikimedia.org/wikipedia/en/9/9c/Replay_%EB%A6%AC%ED%94%8C%EB%A0%88%EC%9D%B4_web_show.jpg,892.jpg,"Youth Drama, Teen, Romance","Kim Min-chul, Cho Mi-yeon, SF9, Kim Hwi-young, Choi Ji-soo, Marco",10,2021,,N/A
893,Reply (TV series),https://en.wikipedia.org/wiki/Reply_(TV_series),,,"Coming of age, Comedy, Romance, Family",,57,2012,"In this vertically framed short film, Paul waits for a reply from his girlfriend, only to receive a series of strange text messages from an unknown number.",N/A
894,Reply 1988,https://en.wikipedia.org/wiki/Reply_1988,https://upload.wikimedia.org/wikipedia/en/d/d8/TVN%27s_Reply_1988_%28%EC%9D%91%EB%8B%B5%ED%95%98%EB%9D%BC_1988%29_poster.jpg,894.jpg,"Family, Comedy, Romance film, Romance","Lee Hye-ri, Park Bo-gum, Go Kyung-pyo, Ryu Jun-yeol, Lee Dong-hwi",20,2015,Follows the lives of 5 families living on the same street in a neighbourhood called Ssangmundong in Seoul. It takes a nostalgic look back at the year 1988.,9.1
895,Reply 1994,https://en.wikipedia.org/wiki/Reply_1994,https://upload.wikimedia.org/wikipedia/en/d/d8/Reply_1994.jpg,895.jpg,"Romance, Comedy","Go Ara, Jung Woo, Yoo Yeon-seok, Kim Sung-kyun, Son Ho-jun, Baro, Baro, Min Do-hee",21,2013,"Focuses on the life events of the residents of a boarding house in '90's Seoul. The plot revolves around the passion and vigor of being a young adult; the challenges of moving to a new environment; of getting along with each other, and growing up.",7.9
896,Reply 1997,https://en.wikipedia.org/wiki/Reply_1997,https://upload.wikimedia.org/wikipedia/en/d/d7/Answer_me_1997_poster.jpg,896.jpg,"Romance, Comedy, Adolescence, Teen, Drama","Jung Eun-ji, Seo In-guk, Hoya, Hoya, Eun Ji-won, Shin So-yul, Lee Si-eon",16,2012,This drama will focus on the extreme fan culture that emerged in the 1990s when idol groups took center stage and K-pop was blossoming.::Anonymous,8.1
